line;track;km;geometry_type;radius;arrow;theoric_width;radius_width;use_width;project_cant
1;2;7973.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7974;Recta;inf;9.31E-07;0;0;0;0
1;2;7974.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7974.5;Recta;inf;0;0;0;0;0
1;2;7974.75;Recta;inf;0;0;0;0;0
1;2;7975;Recta;inf;9.39E-07;0;0;0;0
1;2;7975.25;Recta;inf;0;0;0;0;0
1;2;7975.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7975.75;Recta;inf;0;0;0;0;0
1;2;7976;Recta;inf;0;0;0;0;0
1;2;7976.25;Recta;inf;0;0;0;0;0
1;2;7976.5;Recta;inf;5.03E-05;0;0;0;0
1;2;7976.75;Recta;inf;0;0;0;0;0
1;2;7977;Recta;inf;1.16E-07;0;0;0;0
1;2;7977.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7977.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7977.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7978;Recta;inf;0;0;0;0;0
1;2;7978.25;Recta;inf;0;0;0;0;0
1;2;7978.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7978.75;Recta;inf;0;0;0;0;0
1;2;7979;Recta;inf;9.39E-07;0;0;0;0
1;2;7979.25;Recta;inf;1.16E-07;0;0;0;0
1;2;7979.5;Recta;inf;0;0;0;0;0
1;2;7979.75;Recta;inf;1.16E-07;0;0;0;0
1;2;7980;Recta;inf;0;0;0;0;0
1;2;7980.25;Recta;inf;0;0;0;0;0
1;2;7980.5;Recta;inf;1.16E-07;0;0;0;0
1;2;7980.75;Recta;inf;0;0;0;0;0
1;2;7981;Recta;inf;1.16E-07;0;0;0;0
1;2;7981.25;Recta;inf;5.03E-05;0;0;0;0
