pk_geo;pk_client;line;track;category;direction;rail_typology_code;armament;fastening;rail_typology;Vcir;technical_location;inter_station;X;Y;created_by;data_version;huso
788300000;7883;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724272.767;4381080.477;jgomez;0;30
788325000;7883.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724272.8684;4381080.249;jgomez;0;30
788350000;7883.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724272.9698;4381080.02;jgomez;0;30
788375000;7883.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724273.0713;4381079.792;jgomez;0;30
788400000;7884;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724273.1727;4381079.563;jgomez;0;30
788425000;7884.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724273.2742;4381079.335;jgomez;0;30
788450000;7884.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724273.3756;4381079.106;jgomez;0;30
788475000;7884.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724273.4771;4381078.878;jgomez;0;30
788500000;7885;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724273.5785;4381078.649;jgomez;0;30
788525000;7885.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724273.6799;4381078.421;jgomez;0;30
788550000;7885.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724273.7814;4381078.192;jgomez;0;30
788575000;7885.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724273.8828;4381077.964;jgomez;0;30
788600000;7886;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724273.9843;4381077.735;jgomez;0;30
788625000;7886.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724274.0857;4381077.507;jgomez;0;30
788650000;7886.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724274.1872;4381077.278;jgomez;0;30
788675000;7886.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724274.2886;4381077.05;jgomez;0;30
788700000;7887;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724274.3901;4381076.821;jgomez;0;30
788725000;7887.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724274.4915;4381076.593;jgomez;0;30
788750000;7887.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724274.5929;4381076.364;jgomez;0;30
788775000;7887.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724274.6944;4381076.136;jgomez;0;30
788800000;7888;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724274.7958;4381075.907;jgomez;0;30
788825000;7888.25;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724274.8973;4381075.679;jgomez;0;30
788850000;7888.5;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724274.9987;4381075.45;jgomez;0;30
788875000;7888.75;1;2;Circulacion;D;BA;Monoblock;Stedef;Balasto;80;F-1-E-SE;F-1-E-SE;724275.1002;4381075.222;jgomez;0;30
